"filename", "language", "JSON", "TypeScript", "SCSS", "CSS", "HTML", "SVG", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\github\LawyerERP-app\angular.json", "JSON", 110, 0, 0, 0, 0, 0, 0, 82, 0, 192
"c:\Users\Admin\Desktop\github\LawyerERP-app\capacitor.config.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Admin\Desktop\github\LawyerERP-app\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 6, 3, 37
"c:\Users\Admin\Desktop\github\LawyerERP-app\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Admin\Desktop\github\LawyerERP-app\e2e\src\app.po.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Admin\Desktop\github\LawyerERP-app\e2e\tsconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Admin\Desktop\github\LawyerERP-app\ionic.config.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Admin\Desktop\github\LawyerERP-app\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 28, 2, 2, 32
"c:\Users\Admin\Desktop\github\LawyerERP-app\ng-tailwind\base.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Admin\Desktop\github\LawyerERP-app\ng-tailwind\components.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Admin\Desktop\github\LawyerERP-app\ng-tailwind\tw.base.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Admin\Desktop\github\LawyerERP-app\ng-tailwind\tw.components.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Admin\Desktop\github\LawyerERP-app\ng-tailwind\tw.utils.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Admin\Desktop\github\LawyerERP-app\ng-tailwind\utilities.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Admin\Desktop\github\LawyerERP-app\package-lock.json", "JSON", 16335, 0, 0, 0, 0, 0, 0, 0, 1, 16336
"c:\Users\Admin\Desktop\github\LawyerERP-app\package.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\app-routing.module.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\app.component.html", "HTML", 0, 0, 0, 0, 46, 0, 0, 0, 3, 49
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\app.component.scss", "SCSS", 0, 0, 37, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\app.component.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\app.module.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 4, 74
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\auth\app.initializer.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\auth\auth.service.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 15, 128
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\auth\guards\permission.guard.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\auth\guards\role.guard.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\auth\guards\user.guard.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\auth\interceptors\error.interceptor.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\auth\interceptors\token.interceptor.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\link-modal\link-modal.component.html", "HTML", 0, 0, 0, 0, 56, 0, 0, 2, 4, 62
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\link-modal\link-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\link-modal\link-modal.component.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\groups-list\add-group.html", "HTML", 0, 0, 0, 0, 35, 0, 0, 2, 0, 37
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\groups-list\group-details.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\groups-list\groups-list.component.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 1, 1, 69
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\groups-list\groups-list.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Desktop\github\LawyerERP-app\src\app\components\lists\groups-list\groups-list.component.ts", "TypeScript", 0, 114, 0, 0, 0, 0, 0, 0, 13, 127
